Last_Three_Digits,Date,Month,Years,First_Price,Last_Two_Digits_Upper,Three_Digits_Upper,Last_Two_Digits_Under,Datetime,day_of_week,weekday_name
703 583 660 221,16,7,2554,116556,56,556,12,2011-07-16,5,เสาร์
227 052 534 609,1,7,2554,622953,53,953,51,2011-07-01,4,ศุกร์
390 160 780 463,16,6,2554,351276,76,276,88,2011-06-16,3,พฤหัสบดี
486 167 162 582,1,6,2554,562370,70,370,46,2011-06-01,2,พุธ
656 346 801 556,16,5,2554,406417,17,417,5,2011-05-16,0,จันทร์
700 044 071 889,2,5,2554,54136,36,136,85,2011-05-02,0,จันทร์
421 945 133 524,16,4,2554,825988,88,988,44,2011-04-16,5,เสาร์
263 213 397 593,1,4,2554,814931,31,931,1,2011-04-01,4,ศุกร์
723 584 040 036,16,3,2554,593331,31,331,96,2011-03-16,2,พุธ
209 945 463 737,1,3,2554,656037,37,37,97,2011-03-01,1,อังคาร
544 357 926 396,16,2,2554,481746,46,746,27,2011-02-16,2,พุธ
535 510 384 388,1,2,2554,610089,89,89,55,2011-02-01,1,อังคาร
596 361 121 432,16,1,2554,281062,62,62,23,2011-01-16,6,อาทิตย์
227 185 758 546,30,12,2553,884112,12,112,49,2010-12-30,3,พฤหัสบดี
936 153 186 933,16,12,2553,334380,80,380,24,2010-12-16,3,พฤหัสบดี
529 315 533 306,1,12,2553,181752,52,752,9,2010-12-01,2,พุธ
664 470 474 086,16,11,2553,813993,93,993,43,2010-11-16,1,อังคาร
763 979 907 129,1,11,2553,191100,0,100,59,2010-11-01,0,จันทร์
653 968 801 739,16,10,2553,621377,77,377,42,2010-10-16,5,เสาร์
310 518 385 872,1,10,2553,488372,72,372,2,2010-10-01,4,ศุกร์
